Name,Reason,Number
"Ketchikan, AK: Ketchikan International",Carrier,3
"Key West, FL: Key West International",Weather,2
"Killeen, TX: Robert Gray AAF",Carrier,6
"Knoxville, TN: McGhee Tyson","National Air System",4
"Kodiak, AK: Kodiak Airport",Weather,2
"Kona, HI: Ellison Onizuka Kona International at Keahole",Carrier,4
"Kotzebue, AK: Ralph Wien Memorial",Weather,6
"Lafayette, LA: Lafayette Regional Paul Fournet Field",Weather,5
"Lake Charles, LA: Lake Charles Regional",Weather,1
"Lansing, MI: Capital Region International",Weather,2
"Laramie, WY: Laramie Regional",Weather,1
"Las Vegas, NV: McCarran International",Weather,35
"Latrobe, PA: Arnold Palmer Regional",Weather,1
"Lexington, KY: Blue Grass","National Air System",6
"Lihue, HI: Lihue Airport",Carrier,5
"Lincoln, NE: Lincoln Airport","National Air System",1
"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",Weather,6
"Long Beach, CA: Long Beach Airport",Carrier,1
"Los Angeles, CA: Los Angeles International",Carrier,49
"Louisville, KY: Louisville Muhammad Ali International",Weather,9
"Lubbock, TX: Lubbock Preston Smith International",Carrier,1
"Madison, WI: Dane County Regional-Truax Field","National Air System",5
"Manchester, NH: Manchester-Boston Regional",Weather,3
"Manhattan/Ft. Riley, KS: Manhattan Regional",Carrier,1
"Marquette, MI: Sawyer International",Weather,1
"Medford, OR: Rogue Valley International - Medford",Weather,1
"Melbourne, FL: Melbourne International","National Air System",3
"Memphis, TN: Memphis International",Weather,12
"Meridian, MS: Key Field",Weather,3
"Miami, FL: Miami International",Weather,14
"Midland/Odessa, TX: Midland International Air and Space Port","National Air System",1
"Milwaukee, WI: General Mitchell International","National Air System",11
"Minneapolis, MN: Minneapolis-St Paul International",Weather,47
"Minot, ND: Minot International",Weather,1
"Mission/McAllen/Edinburg, TX: McAllen Miller International",Weather,2
"Missoula, MT: Missoula International",Weather,2
"Mobile, AL: Mobile Regional",Weather,14
"Moline, IL: Quad City International",Weather,4
"Monroe, LA: Monroe Regional",Weather,3
"Monterey, CA: Monterey Regional",Weather,1
"Montgomery, AL: Montgomery Regional",Weather,6
"Muskegon, MI: Muskegon County",Weather,4
"Myrtle Beach, SC: Myrtle Beach International",Weather,6
"Nashville, TN: Nashville International",Weather,22
"New Orleans, LA: Louis Armstrong New Orleans International",Weather,62
"New York, NY: John F. Kennedy International",Weather,9
"New York, NY: LaGuardia",Weather,45
"Newark, NJ: Newark Liberty International","National Air System",49
"Newburgh/Poughkeepsie, NY: New York Stewart International",Weather,1
"Newport News/Williamsburg, VA: Newport News/Williamsburg International",Weather,1
"Nome, AK: Nome Airport",Weather,8
"Norfolk, VA: Norfolk International",Weather,9
"Oakland, CA: Metropolitan Oakland International",Carrier,22
"Oklahoma City, OK: Will Rogers World",Weather,12
"Omaha, NE: Eppley Airfield","National Air System",7
"Ontario, CA: Ontario International",Weather,16
"Orlando, FL: Orlando International",Weather,39
"Paducah, KY: Barkley Regional",Weather,2
"Pago Pago, TT: Pago Pago International",Carrier,1
"Palm Springs, CA: Palm Springs International",Carrier,2
"Panama City, FL: Northwest Florida Beaches International",Weather,8
"Pasco/Kennewick/Richland, WA: Tri Cities",Weather,4
"Pellston, MI: Pellston Regional Airport of Emmet County",Weather,7
"Pensacola, FL: Pensacola International",Weather,11
"Peoria, IL: General Downing - Peoria International","National Air System",1
"Petersburg, AK: Petersburg James A Johnson",Carrier,1
"Philadelphia, PA: Philadelphia International",Weather,25
"Phoenix, AZ: Phoenix Sky Harbor International",Weather,18
"Pittsburgh, PA: Pittsburgh International",Weather,14
"Portland, ME: Portland International Jetport",Weather,3
"Portland, OR: Portland International",Weather,22
"Providence, RI: Theodore Francis Green State",Weather,7
